[2021-01-21 06:38:35,969] {{taskinstance.py:655}} INFO - Dependencies all met for <TaskInstance: MarketVol.error_log_analyzer 2021-01-21T06:37:24.920588+00:00 [queued]>
[2021-01-21 06:38:35,981] {{taskinstance.py:655}} INFO - Dependencies all met for <TaskInstance: MarketVol.error_log_analyzer 2021-01-21T06:37:24.920588+00:00 [queued]>
[2021-01-21 06:38:35,982] {{taskinstance.py:866}} INFO - 
--------------------------------------------------------------------------------
[2021-01-21 06:38:35,982] {{taskinstance.py:867}} INFO - Starting attempt 1 of 1
[2021-01-21 06:38:35,983] {{taskinstance.py:868}} INFO - 
--------------------------------------------------------------------------------
[2021-01-21 06:38:36,450] {{bash_operator.py:126}} INFO - [2021-01-13 17:22:38,454] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-13/TSLA.csv'
[2021-01-21 06:38:36,451] {{bash_operator.py:126}} INFO - [2021-01-13 17:22:14,540] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-13/TSLA.csv'
[2021-01-21 06:38:36,452] {{bash_operator.py:126}} INFO - [2021-01-13 17:22:30,840] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-13/TSLA.csv'
[2021-01-21 06:38:36,452] {{bash_operator.py:126}} INFO - [2021-01-13 17:22:42,230] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-13/TSLA.csv'
[2021-01-21 06:38:36,453] {{bash_operator.py:126}} INFO - [2021-01-13 17:22:56,671] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-13/TSLA.csv'
[2021-01-21 06:38:36,453] {{bash_operator.py:126}} INFO - [2021-01-13 17:22:24,625] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-13/TSLA.csv'
[2021-01-21 06:38:36,454] {{bash_operator.py:126}} INFO - [2021-01-13 17:22:44,063] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-13/TSLA.csv'
[2021-01-21 06:38:36,455] {{bash_operator.py:126}} INFO - [2021-01-13 17:22:58,401] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-13/TSLA.csv'
[2021-01-21 06:38:36,455] {{bash_operator.py:126}} INFO - [2021-01-13 17:23:07,834] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-13/TSLA.csv'
[2021-01-21 06:38:36,456] {{bash_operator.py:126}} INFO - [2021-01-13 17:22:34,492] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-13/TSLA.csv'
[2021-01-21 06:38:36,456] {{bash_operator.py:126}} INFO - [2021-01-13 17:22:51,954] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-13/TSLA.csv'
[2021-01-21 06:38:36,457] {{bash_operator.py:126}} INFO - [2021-01-13 17:23:03,920] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-13/TSLA.csv'
[2021-01-21 06:38:36,457] {{bash_operator.py:126}} INFO - [2021-01-13 17:23:11,678] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-13/TSLA.csv'
[2021-01-21 06:38:36,458] {{bash_operator.py:126}} INFO - [2021-01-14 22:49:18,538] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-14/TSLA.csv'
[2021-01-21 06:38:36,458] {{bash_operator.py:126}} INFO - [2021-01-14 22:49:30,582] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-14/TSLA.csv'
[2021-01-21 06:38:36,459] {{bash_operator.py:126}} INFO - [2021-01-14 22:49:38,572] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-14/TSLA.csv'
[2021-01-21 06:38:36,459] {{bash_operator.py:126}} INFO - [2021-01-14 22:49:47,990] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-14/TSLA.csv'
[2021-01-21 06:38:36,460] {{bash_operator.py:126}} INFO - [2021-01-14 22:49:25,212] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-14/TSLA.csv'
[2021-01-21 06:38:36,460] {{bash_operator.py:126}} INFO - [2021-01-14 22:49:40,389] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-14/TSLA.csv'
[2021-01-21 06:38:36,461] {{bash_operator.py:126}} INFO - [2021-01-14 22:49:51,858] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-14/TSLA.csv'
